PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,26.22
P. fluorescens,1,2,PR1,26.36
P. fluorescens,1,3,PR1,26.13
P. fluorescens,1,1,PR4,27.45
P. fluorescens,1,2,PR4,27.61
P. fluorescens,1,3,PR4,27.35
P. fluorescens,1,1,PR5,26.58
P. fluorescens,1,2,PR5,26.8
P. fluorescens,1,3,PR5,26.56
P. fluorescens,1,1,UBQ,19.17
P. fluorescens,1,2,UBQ,19.07
P. fluorescens,1,3,UBQ,19.08
P. fluorescens,4,1,PR1,26.73
P. fluorescens,4,2,PR1,27
P. fluorescens,4,3,PR1,26.71
P. fluorescens,4,1,PR4,28.02
P. fluorescens,4,2,PR4,27.71
P. fluorescens,4,3,PR4,28.01
P. fluorescens,4,1,PR5,27.07
P. fluorescens,4,2,PR5,26.87
P. fluorescens,4,3,PR5,26.97
P. fluorescens,4,1,UBQ,19.27
P. fluorescens,4,2,UBQ,19.38
P. fluorescens,4,3,UBQ,19.46
P. fluorescens,7,1,PR1,25.39
P. fluorescens,7,2,PR1,25.3
P. fluorescens,7,3,PR1,25.35
P. fluorescens,7,1,PR4,27.38
P. fluorescens,7,2,PR4,26.52
P. fluorescens,7,3,PR4,26.69
P. fluorescens,7,1,PR5,26
P. fluorescens,7,2,PR5,25.99
P. fluorescens,7,3,PR5,26.01
P. fluorescens,7,1,UBQ,19.01
P. fluorescens,7,2,UBQ,19.15
P. fluorescens,7,3,UBQ,19.08
S. marcescens,1,1,PR1,27.12
S. marcescens,1,2,PR1,27.07
S. marcescens,1,3,PR1,26.84
S. marcescens,1,1,PR4,28.07
S. marcescens,1,2,PR4,28.06
S. marcescens,1,3,PR4,27.92
S. marcescens,1,1,PR5,27.41
S. marcescens,1,2,PR5,27.36
S. marcescens,1,3,PR5,27.3
S. marcescens,1,1,UBQ,19.69
S. marcescens,1,2,UBQ,19.67
S. marcescens,1,3,UBQ,19.58
S. marcescens,4,1,PR1,26.23
S. marcescens,4,2,PR1,26.11
S. marcescens,4,3,PR1,26.39
S. marcescens,4,1,PR4,27.62
S. marcescens,4,2,PR4,27.43
S. marcescens,4,3,PR4,27.75
S. marcescens,4,1,PR5,26.97
S. marcescens,4,2,PR5,26.9
S. marcescens,4,3,PR5,27.1
S. marcescens,4,1,UBQ,19.28
S. marcescens,4,2,UBQ,19.08
S. marcescens,4,3,UBQ,19.05
S. marcescens,7,1,PR1,27.18
S. marcescens,7,2,PR1,27.3
S. marcescens,7,3,PR1,27.93
S. marcescens,7,1,PR4,28.15
S. marcescens,7,2,PR4,28.27
S. marcescens,7,3,PR4,28.11
S. marcescens,7,1,PR5,27.13
S. marcescens,7,2,PR5,27.1
S. marcescens,7,3,PR5,27.01
S. marcescens,7,1,UBQ,19.33
S. marcescens,7,2,UBQ,19.46
S. marcescens,7,3,UBQ,19.44
B. subtilis,1,1,PR1,26.87
B. subtilis,1,2,PR1,26.96
B. subtilis,1,3,PR1,26.64
B. subtilis,1,1,PR4,28.06
B. subtilis,1,2,PR4,27.84
B. subtilis,1,3,PR4,28.27
B. subtilis,1,1,PR5,27.66
B. subtilis,1,2,PR5,27.54
B. subtilis,1,3,PR5,27.56
B. subtilis,1,1,UBQ,19.11
B. subtilis,1,2,UBQ,19.31
B. subtilis,1,3,UBQ,19.26
B. subtilis,4,1,PR1,27.35
B. subtilis,4,2,PR1,27.03
B. subtilis,4,3,PR1,26.94
B. subtilis,4,1,PR4,28.15
B. subtilis,4,2,PR4,27.92
B. subtilis,4,3,PR4,28.14
B. subtilis,4,1,PR5,27.72
B. subtilis,4,2,PR5,27.44
B. subtilis,4,3,PR5,27.57
B. subtilis,4,1,UBQ,19.27
B. subtilis,4,2,UBQ,19.38
B. subtilis,4,3,UBQ,19.45
B. subtilis,7,1,PR1,27.36
B. subtilis,7,2,PR1,26.93
B. subtilis,7,3,PR1,26.75
B. subtilis,7,1,PR4,28.1
B. subtilis,7,2,PR4,28.11
B. subtilis,7,3,PR4,28.14
B. subtilis,7,1,PR5,27.03
B. subtilis,7,2,PR5,27.26
B. subtilis,7,3,PR5,27.03
B. subtilis,7,1,UBQ,19.23
B. subtilis,7,2,UBQ,19.29
B. subtilis,7,3,UBQ,19.35
Control,1,1,PR1,27.11
Control,1,2,PR1,26.74
Control,1,3,PR1,26.61
Control,1,1,PR4,27.89
Control,1,2,PR4,28.39
Control,1,3,PR4,28.37
Control,1,1,PR5,28.03
Control,1,2,PR5,27.95
Control,1,3,PR5,27.88
Control,1,1,UBQ,19.32
Control,1,2,UBQ,19.37
Control,1,3,UBQ,19.36
Control,4,1,PR1,26.19
Control,4,2,PR1,26.25
Control,4,3,PR1,26.13
Control,4,1,PR4,27.24
Control,4,2,PR4,27.43
Control,4,3,PR4,27.28
Control,4,1,PR5,26.8
Control,4,2,PR5,26.67
Control,4,3,PR5,27.65
Control,4,1,UBQ,18.64
Control,4,2,UBQ,18.64
Control,4,3,UBQ,18.56
Control,7,1,PR1,27.03
Control,7,2,PR1,27.19
Control,7,3,PR1,27.42
Control,7,1,PR4,28.61
Control,7,2,PR4,28.35
Control,7,3,PR4,28.76
Control,7,1,PR5,28.33
Control,7,2,PR5,28.26
Control,7,3,PR5,28.3
Control,7,1,UBQ,20.27
Control,7,2,UBQ,20.23
Control,7,3,UBQ,20.29
P. fluorescens,1,1,NPR1,25.52
P. fluorescens,1,2,NPR1,25.56
P. fluorescens,1,3,NPR1,25.74
P. fluorescens,1,1,EDS1,25.77
P. fluorescens,1,2,EDS1,25.84
P. fluorescens,1,3,EDS1,25.82
P. fluorescens,1,1,PAD4,26.18
P. fluorescens,1,2,PAD4,26.21
P. fluorescens,1,3,PAD4,26.05
P. fluorescens,1,1,PDF1.2,28.38
P. fluorescens,1,2,PDF1.2,28.04
P. fluorescens,1,3,PDF1.2,26.6
P. fluorescens,4,1,NPR1,24.86
P. fluorescens,4,2,NPR1,24.8
P. fluorescens,4,3,NPR1,24.86
P. fluorescens,4,1,EDS1,27.04
P. fluorescens,4,2,EDS1,26.91
P. fluorescens,4,3,EDS1,27.18
P. fluorescens,4,1,PAD4,25.94
P. fluorescens,4,2,PAD4,25.95
P. fluorescens,4,3,PAD4,26.05
P. fluorescens,4,1,PDF1.2,28.42
P. fluorescens,4,2,PDF1.2,28.12
P. fluorescens,4,3,PDF1.2,28.04
P. fluorescens,7,1,NPR1,24.71
P. fluorescens,7,2,NPR1,24.69
P. fluorescens,7,3,NPR1,24.58
P. fluorescens,7,1,EDS1,25.43
P. fluorescens,7,2,EDS1,25.28
P. fluorescens,7,3,EDS1,25.33
P. fluorescens,7,1,PAD4,24.76
P. fluorescens,7,2,PAD4,24.72
P. fluorescens,7,3,PAD4,24.74
