PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,PR1,27.89
P. fluorescens,1,2,PR1,28.02
P. fluorescens,1,3,PR1,28.01
S. marcescens,1,1,PR1,26.22
S. marcescens,1,2,PR1,26.53
S. marcescens,1,3,PR1,26.36
B. subtilis,1,1,PR1,25.86
B. subtilis,1,2,PR1,25.79
B. subtilis,1,3,PR1,25.83
Control,1,1,PR1,26.36
Control,1,2,PR1,26.41
Control,1,3,PR1,26.41
P. fluorescens,4,1,PR1,25.24
P. fluorescens,4,2,PR1,25.23
P. fluorescens,4,3,PR1,25.32
S. marcescens,4,1,PR1,26.79
S. marcescens,4,2,PR1,26.79
S. marcescens,4,3,PR1,26.57
B. subtilis,4,1,PR1,25.75
B. subtilis,4,2,PR1,25.86
B. subtilis,4,3,PR1,27.90
Control,4,1,PR1,25.48
Control,4,2,PR1,25.22
Control,4,3,PR1,25.25
P. fluorescens,7,1,PR1,25.66
P. fluorescens,7,2,PR1,25.73
P. fluorescens,7,3,PR1,25.72
S. marcescens,7,1,PR1,25.76
S. marcescens,7,2,PR1,25.68
S. marcescens,7,3,PR1,25.63
B. subtilis,7,1,PR1,25.58
B. subtilis,7,2,PR1,25.50
B. subtilis,7,3,PR1,25.65
Control,7,1,PR1,25.12
Control,7,2,PR1,25.05
Control,7,3,PR1,25.01
P. fluorescens,10,1,PR1,24.49
P. fluorescens,10,2,PR1,24.52
P. fluorescens,10,3,PR1,24.42
S. marcescens,10,1,PR1,26.01
S. marcescens,10,2,PR1,25.91
S. marcescens,10,3,PR1,25.72
B. subtilis,10,1,PR1,24.68
B. subtilis,10,2,PR1,24.52
B. subtilis,10,3,PR1,24.78
Control,10,1,PR1,24.82
Control,10,2,PR1,24.77
Control,10,3,PR1,24.72
P. fluorescens,1,1,NPR1,24.79
P. fluorescens,1,2,NPR1,24.79
P. fluorescens,1,3,NPR1,24.95
S. marcescens,1,1,NPR1,25.25
S. marcescens,1,2,NPR1,25.22
S. marcescens,1,3,NPR1,25.30
B. subtilis,1,1,NPR1,24.53
B. subtilis,1,2,NPR1,25.01
B. subtilis,1,3,NPR1,24.48
Control,1,1,NPR1,25.74
Control,1,2,NPR1,25.57
Control,1,3,NPR1,25.66
P. fluorescens,4,1,NPR1,23.91
P. fluorescens,4,2,NPR1,24.03
P. fluorescens,4,3,NPR1,24.02
S. marcescens,4,1,NPR1,24.55
S. marcescens,4,2,NPR1,24.57
S. marcescens,4,3,NPR1,24.58
B. subtilis,4,1,NPR1,24.73
B. subtilis,4,2,NPR1,24.75
B. subtilis,4,3,NPR1,24.88
Control,4,1,NPR1,24.17
Control,4,2,NPR1,24.44
Control,4,3,NPR1,24.32
P. fluorescens,7,1,NPR1,23.67
P. fluorescens,7,2,NPR1,23.69
P. fluorescens,7,3,NPR1,23.74
S. marcescens,7,1,NPR1,24.03
S. marcescens,7,2,NPR1,24.00
S. marcescens,7,3,NPR1,24.08
B. subtilis,7,1,NPR1,24.21
B. subtilis,7,2,NPR1,24.28
B. subtilis,7,3,NPR1,24.20
Control,7,1,NPR1,24.05
Control,7,2,NPR1,23.91
Control,7,3,NPR1,24.00
P. fluorescens,10,1,NPR1,23.24
P. fluorescens,10,2,NPR1,23.34
P. fluorescens,10,3,NPR1,23.20
S. marcescens,10,1,NPR1,24.38
S. marcescens,10,2,NPR1,24.27
S. marcescens,10,3,NPR1,24.26
B. subtilis,10,1,NPR1,22.70
B. subtilis,10,2,NPR1,22.92
B. subtilis,10,3,NPR1,23.07
Control,10,1,NPR1,23.36
Control,10,2,NPR1,23.81
Control,10,3,NPR1,23.62
P. fluorescens,1,1,ICS1,25.69
P. fluorescens,1,2,ICS1,25.73
P. fluorescens,1,3,ICS1,25.83
S. marcescens,1,1,ICS1,25.16
S. marcescens,1,2,ICS1,25.13
S. marcescens,1,3,ICS1,25.16
B. subtilis,1,1,ICS1,24.54
B. subtilis,1,2,ICS1,24.53
B. subtilis,1,3,ICS1,24.55
Control,1,1,ICS1,25.01
Control,1,2,ICS1,25.04
Control,1,3,ICS1,25.32
